종목명,자격구분,주무부처
철골기능사1급,국가기술자격,고용노동부
창호제작기능사1급,국가기술자격,고용노동부
원동기취급기능사1급,국가기술자격,산업자원부
원동기시공기능사1급,국가기술자격,산업자원부
보일러기능사1급,국가기술자격,산업자원부
열처리기능사1급,국가기술자격,산업자원부
주물용해기능사1급,국가기술자격,고용노동부
농기계정비기능사1급,국가기술자격,농촌진흥청
고압가스기계기능사1급,국가기술자격,산업자원부
목재창호기능사1급,국가기술자격,건설교통부
미장기능사1급,국가기술자격,고용노동부
원형기능사1급,국가기술자격,고용노동부
압연기능사1급,국가기술자격,고용노동부
공조냉동기계기능사1급,국가기술자격,산업자원부
생산기계다기능기술자,국가기술자격,고용노동부
생산자동화다기능기술자,국가기술자격,고용노동부
자동차전기기능사1급,국가기술자격,건설교통부
자동차정비기능사1급,국가기술자격,건설교통부
제강기능사1급,국가기술자격,고용노동부
갱부기능사1급,국가기술자격,고용노동부
지적기능사1급,국가기술자격,행정안전부
유선방송설비기능사1급,국가기술자격,정보통신부
목공예기능사1급,국가기술자격,고용노동부
정련표백기능사1급,국가기술자격,고용노동부
침염기능사1급,국가기술자격,고용노동부
정보기계설비기능사1급,국가기술자격,정보통신부
식품기계기능사1급,국가기술자격,고용노동부
제화기능사1급,국가기술자격,고용노동부
인형기능사1급,국가기술자격,고용노동부
가눈섭기능사1급,국가기술자격,고용노동부
염색기능사1급,국가기술자격,고용노동부
직물가공기능사1급,국가기술자격,고용노동부
어간유제조기능사1급,국가기술자격,해양수산부
한천제조기능사1급,국가기술자격,해양수산부
식품가공기능사1급,국가기술자격,보건복지부
임산가공기능사1급,국가기술자격,산림청
옵셋제판기능사1급,국가기술자격,고용노동부
제빵기능사1급,국가기술자격,보건복지부
양복기능사1급,국가기술자격,고용노동부
양장기능사1급,국가기술자격,고용노동부
채소재배기능사1급,국가기술자격,농촌진흥청
과수재배기능사1급,국가기술자격,농촌진흥청
화훼재배기능사1급,국가기술자격,농촌진흥청
광산기계운전및수리기능사보,국가기술자격,고용노동부
인쇄기능사1급,국가기술자격,고용노동부
제과기능사1급,국가기술자격,보건복지부
덤프트럭기능사1급,국가기술자격,건설교통부
타자기수리기능사1급,국가기술자격,고용노동부
나염기능사1급,국가기술자격,고용노동부
통조림제조기능사1급,국가기술자격,해양수산부
주조조판기기능사1급,국가기술자격,고용노동부
시멘트제조기능사1급,국가기술자격,고용노동부
변전설비기능사1급,국가기술자격,산업자원부
송배전설비기능사1급,국가기술자격,산업자원부
로우더기능사1급,국가기술자격,건설교통부
아스팔트믹싱플랜트기능사1급,국가기술자격,건설교통부
준설선기능사1급,국가기술자격,건설교통부
쇄석기기능사1급,국가기술자격,건설교통부
사래채취기기능사1급,국가기술자격,건설교통부
로울러기능사1급,국가기술자격,건설교통부
모우터그레이더기능사1급,국가기술자격,건설교통부
아스팔트휘니셔기능사1급,국가기술자격,건설교통부
방수기능사1급,국가기술자격,건설교통부
포장기능사1급,국가기술자격,건설교통부
지형연판기능사1급,국가기술자격,고용노동부
콘크리트믹서기능사1급,국가기술자격,건설교통부
지게차기능사1급,국가기술자격,건설교통부
자수기능사1급,국가기술자격,고용노동부
한복기능사1급,국가기술자격,고용노동부
농화학기능사1급,국가기술자격,농촌진흥청
기중기기능사1급,국가기술자격,건설교통부
비파괴검사기능사1급,국가기술자격,과학기술정보통신부
금속공예기능사1급,국가기술자격,고용노동부
스크레이퍼기능사1급,국가기술자격,건설교통부
편물기능사1급,국가기술자격,고용노동부
귀금속가공기능사1급,국가기술자격,고용노동부
물리탐광기능사1급,국가기술자격,고용노동부
선광기능사1급,국가기술자격,산업자원부
광산기계설치기능사1급,국가기술자격,고용노동부
광산기계운전및수리기능사1급,국가기술자격,고용노동부
기편기능사1급,국가기술자격,고용노동부
수편기능사1급,국가기술자격,고용노동부
공업전자기기기능사1급,국가기술자격,고용노동부
전자계산기조작기능사1급,국가기술자격,고용노동부
전자계산기기능사1급,국가기술자격,고용노동부
유선설비기능사1급,국가기술자격,고용노동부
수자수기능사1급,국가기술자격,고용노동부
기계자수기능사1급,국가기술자격,고용노동부
나전칠기기능사1급,국가기술자격,고용노동부
열처리기능장,국가기술자격,고용노동부
소방설비산업기사,국가기술자격,행정안전부
계량기계산업기사,국가기술자격,지식경제부
계량물리산업기사,국가기술자격,지식경제부
주조기능장,국가기술자격,고용노동부
표면처리기능장,국가기술자격,고용노동부
자동차정비기능장,국가기술자격,국토교통부
건설기계정비기능장,국가기술자격,국토교통부
교통산업기사,국가기술자격,국토교통부
귀금속가공산업기사,국가기술자격,고용노동부
어로산업기사,국가기술자격,해양수산부
계량기사2급,국가기술자격,중소벤처기업부
고압가스기계기능장,국가기술자격,고용노동부
철도차량정비기능장,국가기술자격,국토교통부
정밀가공및측정기능장,국가기술자격,고용노동부
금형제작기능장,국가기술자격,산업통상자원부
판금기능장,국가기술자격,고용노동부
배관기능장,국가기술자격,고용노동부
계량전기산업기사,국가기술자격,산업자원부
전자회로설계산업기사,국가기술자격,지식경제부
산업위생관리산업기사,국가기술자격,고용노동부
제관기능장,국가기술자격,고용노동부
판금제관기능장,국가기술자격,고용노동부
용접기능장,국가기술자격,고용노동부
폐기물처리산업기사,국가기술자격,환경부
포장산업기사,국가기술자격,산업통상자원부
제품디자인산업기사,국가기술자격,산업통상자원부
공조냉동기계산업기사,국가기술자격,국토교통부
고분자제품제조산업기사,국가기술자격,고용노동부
화약류제조산업기사,국가기술자격,경찰청
실내건축산업기사,국가기술자격,국토교통부
정보처리산업기사,국가기술자격,과학기술정보통신부
정보기술산업기사,국가기술자격,지식경제부
건설재료시험산업기사,국가기술자격,국토교통부
방사선비파괴검사산업기사,국가기술자격,과학기술정보통신부
한식조리산업기사,국가기술자격,식품의약품안전처
패션디자인산업기사,국가기술자격,고용노동부
환경관리기사2급,국가기술자격,과학기술부
방사산업기사,국가기술자격,고용노동부
섬유디자인산업기사,국가기술자격,고용노동부
섬유기계산업기사,국가기술자격,고용노동부
"대기환경,수질환경산업기사",국가기술자격,환경부
전산응용토목제도기능사,국가기술자격,국토교통부
영림기사2급,국가기술자격,산림청
한복산업기사,국가기술자격,고용노동부
